date,PRC
3/2/2007,68.51
3/5/2007,67.83
3/6/2007,69.52
3/7/2007,70.33
3/8/2007,71.36
3/9/2007,71.41
3/12/2007,71.58
3/13/2007,69.2
3/14/2007,68.9
3/15/2007,69.44
3/16/2007,69.47
3/19/2007,71.05
3/20/2007,71.75
3/21/2007,73.84
3/22/2007,73.95
3/23/2007,74.72
3/26/2007,74.03
3/27/2007,73.21
3/28/2007,71.81
3/29/2007,72.32
3/30/2007,71.83
4/2/2007,72.22
4/3/2007,72.61
4/4/2007,72.17
4/5/2007,72.3
4/9/2007,71.84
4/10/2007,72.98
4/11/2007,72.4
4/12/2007,73.1
4/13/2007,73.52
4/16/2007,75.31
4/17/2007,74.6
4/18/2007,75.01
4/19/2007,74.38
4/20/2007,76.23
4/23/2007,76.34
4/24/2007,76.96
4/25/2007,79.033
4/26/2007,78.61
4/27/2007,78.59
4/30/2007,78.5
5/1/2007,78.45
5/2/2007,78.79
5/3/2007,77.58
5/4/2007,78.15
5/7/2007,76.14
5/8/2007,75.86
5/9/2007,76.62
5/10/2007,74.83
5/11/2007,76.84
5/14/2007,76.32
5/15/2007,76.05
5/16/2007,76.11
5/17/2007,75.51
5/18/2007,75.79
5/21/2007,75.1
5/22/2007,75.17
5/23/2007,75.68
5/24/2007,74.58
5/25/2007,74.66
5/29/2007,74.6
5/30/2007,75.07
5/31/2007,75.93
6/1/2007,76.6
6/4/2007,76.64
6/5/2007,75.65
6/6/2007,74.66
6/7/2007,72.3
6/8/2007,72.22
6/11/2007,72.6
6/12/2007,71.12
6/13/2007,72.35
6/14/2007,73.35
6/15/2007,73.77
6/18/2007,73.73
6/19/2007,74.22
6/20/2007,74.04
6/21/2007,73.53
6/22/2007,71.55
6/25/2007,71.8
6/26/2007,70.97
6/27/2007,70.88
6/28/2007,70.58
6/29/2007,70.96
7/2/2007,72.18
7/3/2007,72.78
7/5/2007,72.34
7/6/2007,72.9
7/9/2007,73.16
7/10/2007,71.95
7/11/2007,72.67
7/12/2007,74.13
7/13/2007,74
7/16/2007,73.88
7/17/2007,73.76
7/18/2007,73.11
7/19/2007,71.96
7/20/2007,69.97
7/23/2007,70.1
7/24/2007,68.27
7/25/2007,67.17
7/26/2007,64.21
7/27/2007,64.1
7/30/2007,65.47
7/31/2007,64.54
8/1/2007,63.54
8/2/2007,66.73
8/3/2007,65.66
8/6/2007,68.44
8/7/2007,70.25
8/8/2007,71.4
8/9/2007,68.7
8/10/2007,67.75
8/13/2007,67.82
8/14/2007,65.68
8/15/2007,63.4
8/16/2007,65.3
8/17/2007,66.99
8/20/2007,65.8
8/21/2007,65.94
8/22/2007,66.59
8/23/2007,66.2
8/24/2007,67.21
8/27/2007,66.6
8/28/2007,64.48
8/29/2007,65.93
8/30/2007,64.65
8/31/2007,65.64
9/4/2007,67.35
9/5/2007,66.22
9/6/2007,66
9/7/2007,64.76
9/10/2007,64.38
9/11/2007,64.91
9/12/2007,64.95
9/13/2007,65.4
9/14/2007,64.41
9/17/2007,63.8
9/18/2007,66.37
9/19/2007,66.78
9/20/2007,67.12
9/21/2007,66.39
9/24/2007,65.95
